metric,pooled_rho,orientation,sign_agreement,heterogeneity,n_domains
fineweb_edu,,1,,,7
fluency_en,,1,,,7
modernbert_cleanliness,,1,,,7
modernbert_readability,,1,,,7
modernbert_reasoning,,1,,,7
modernbert_professionalism,,1,,,7
dsir_books,-0.23229048876465175,-1,0.7142857142857143,0.5714285714285714,7
dsir_wiki,-0.2284306356066127,-1,0.7142857142857143,0.5714285714285714,7
dsir_math,-0.23037348958773443,-1,0.7142857142857143,0.5714285714285714,7
qurater,,1,,,7
ad_en,,1,,,7
rps_doc_word_count,0.30801311908306034,1,0.8571428571428571,0.2857142857142857,7
rps_doc_num_sentences,0.1994803888587407,1,0.7142857142857143,0.5714285714285714,7
rps_doc_unigram_entropy,0.2562557176822823,1,0.8571428571428571,0.2857142857142857,7
rps_doc_frac_unique_words,-0.3117680315048606,-1,0.8571428571428571,0.2857142857142857,7
rps_doc_frac_no_alph_words,-0.15124770964668,-1,0.7142857142857143,0.5714285714285714,7
rps_doc_frac_chars_top_2gram,-0.08538829223254918,-1,0.5714285714285714,0.8571428571428572,7
rps_doc_frac_chars_top_3gram,-0.018095916595748853,-1,0.5714285714285714,0.8571428571428572,7
rps_lines_uppercase_letter_fraction,-0.08462055012566434,-1,0.5714285714285714,0.8571428571428572,7
rps_lines_ending_with_terminal_punctution_mark,0.09665537535797268,1,0.8333333333333334,0.33333333333333337,6
rps_lines_numerical_chars_fraction,8.034789312334326e-05,1,0.5714285714285714,0.8571428571428572,7
rps_doc_mean_word_length,-0.09966359008411264,-1,0.5714285714285714,0.8571428571428572,7
