Model,N_params_B,D_tokens_B,Val_Loss,LB_Average,LB_IFEval,LB_BBH,LB_MATH,LB_GPQA,LB_MUSR,LB_MMLU_PRO,Loss_Source,Loss_Comparability,S,z,logN,grade,report_family
EleutherAI/pythia-160m,0.162405,299.893,2.5978,5.730394616916023,18.15516163778773,2.198832279508135,0.906344410876133,1.1185682326621946,10.675520833333332,1.3279403073286051,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",5.730394616916022,-2.80037442244365,-0.7894006041651491,high,pythia
EleutherAI/pythia-410m,0.409009,299.893,2.4209,5.227072311484412,21.954525104500505,2.7154281203357478,0.9818731117824772,1.230425055928408,3.0598958333333326,1.4202866430260035,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",5.227072311484412,-2.897632461713071,-0.38826713549551134,high,pythia
EleutherAI/pythia-1b,1.040867,299.893,2.2904,5.07026822083096,22.079415949680183,2.2939863995762866,0.906344410876133,0.8948545861297527,2.734375,1.512632978723403,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",5.07026822083096,-2.9297432327099253,0.017395239735087754,high,pythia
EleutherAI/pythia-1.4b,1.416184,299.893,2.2558,6.008531439497028,23.708094522533543,3.878989478987103,1.5105740181268883,1.5659955257270708,4.02265625,1.3648788416075646,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",6.008531439497028,-2.7500236522974313,0.15111968343370452,high,pythia
EleutherAI/pythia-2.8b,2.782831,299.893,2.1911,5.554946281603011,21.73222604910526,5.077786161905462,1.3595166163141994,0.0,3.63828125,1.521867612293143,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",5.554946281603011,-2.8333294704969525,0.4444868326380165,high,pythia
EleutherAI/pythia-6.9b,6.86104,299.893,2.125,5.966546774741993,22.811362739752745,5.88163197981621,1.4350453172205435,0.2237136465324418,3.81484375,1.632683215130022,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",5.966546774741993,-2.75748227397485,0.8363899512792804,high,pythia
EleutherAI/pythia-12b,11.965825,299.893,2.0933,6.059841492942702,24.71475684517081,4.987531038290507,1.6616314199395772,0.0,3.787239583333335,1.2078900709219855,"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)","High (same model, same validation set)",6.059841492942702,-2.740974324460671,1.0779426470025937,high,pythia
meta-llama/Meta-Llama-3-8B,8.03,,1.76,13.626857071686077,14.550614591506092,24.50076379676797,4.531722054380665,7.38255033557047,6.242447916666666,24.553043735224584,"LLaMA 3 Technical Report (Meta, 2024), training loss at convergence","Medium (different validation set, approximate)",13.626857071686075,-1.8466341516495426,0.9047155452786809,medium,llama
meta-llama/Llama-2-7b-hf,6.738,,1.75,8.806357596540016,25.18938638368418,10.35141665784897,1.7371601208459215,2.2371364653243813,3.7578125,9.56523345153664,"LLaMA 2 paper (Touvron et al., 2023), training loss at convergence","Medium (different validation set, approximate)",8.806357596540016,-2.3375112693699607,0.8285310066451015,medium,llama
meta-llama/Llama-3.1-8B,8.03,,1.76,14.42086519266696,12.459828809780271,25.30447063475493,6.570996978851963,8.05369127516779,8.715104166666668,25.42109929078014,"LLaMA 3.1 Technical Report (Meta, 2024), training loss","Medium (different validation set, approximate)",14.42086519266696,-1.780765371636133,0.9047155452786809,medium,llama
Qwen/Qwen2-0.5B,0.494,,2.84,7.224121473565234,18.73218615495773,7.918512040903256,2.643504531722054,1.45413870246085,4.601041666666668,7.99534574468085,"Qwen2 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",7.224121473565234,-2.5527610450816547,-0.30627305107635305,medium,qwen
Qwen/Qwen2-1.5B,1.544,,2.63,10.445452935561454,21.132705665412217,11.781833653483533,7.02416918429003,1.9015659955257265,3.5932291666666667,17.239213947990542,"Qwen2 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",10.445452935561454,-2.1486811461074065,0.18864729599971736,medium,qwen
Qwen/Qwen2-7B,7.616,,2.2,23.9251621404824,31.48667757106699,34.711136202753416,20.39274924471299,7.270693512304249,14.322916666666666,35.366799645390074,"Qwen2 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",23.9251621404824,-1.1567868501089325,0.8817269353764179,medium,qwen
Qwen/Qwen2.5-0.5B,0.5,,2.81,6.550067614297009,16.271714606133948,6.953961634882263,3.927492447129909,0.0,2.0833333333333326,10.0639036643026,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",6.550067614297009,-2.6579504379795145,-0.3010299956639812,medium,qwen
Qwen/Qwen2.5-1.5B,1.5,,2.58,13.852701161320264,26.74304179576856,16.660465167691854,9.138972809667674,4.697986577181204,5.265885416666666,20.609855200945624,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",13.852701161320264,-1.8275783650015802,0.17609125905568124,medium,qwen
Qwen/Qwen2.5-7B,7.616,,2.15,26.019159924095096,33.74479713825982,35.81347328754777,25.075528700906347,9.955257270693512,14.13671875,37.38918439716312,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",26.019159924095096,-1.04497295499932,0.8817269353764179,medium,qwen
Qwen/Qwen2.5-14B,14.77,,2.02,31.951062693148973,36.94464022127954,45.078312404984935,29.003021148036257,17.561521252796418,15.913281249999995,47.20559988179669,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",31.95106269314897,-0.7560216712159008,1.1693804953119495,medium,qwen
google/gemma-2-2b,2.614,,2.39,10.359615568466916,20.176021844262117,12.497306228573644,3.0211480362537766,1.6778523489932915,11.267708333333331,13.51765661938534,"Gemma 2 Technical Report (Google, 2024), final loss","Medium (different validation set, approximate)",10.359615568466916,-2.1578908086874664,0.4173055832445255,medium,gemma
google/gemma-2-9b,9.0,,2.1,21.20528677610069,20.39832089965736,34.09681853589784,13.444108761329304,10.514541387024613,14.29765625,34.48027482269504,"Gemma 2 Technical Report (Google, 2024), final loss","Medium (different validation set, approximate)",21.205286776100692,-1.3125953767258118,0.9542425094393249,medium,gemma
google/gemma-2-27b,27.227,,1.95,23.926167340782825,24.75221301701707,37.390737454186464,16.61631419939577,13.422818791946312,13.921093749999995,37.4538268321513,"Gemma 2 Technical Report (Google, 2024), final loss","Medium (different validation set, approximate)",23.926167340782822,-1.1567316232388583,1.4349997913501735,medium,gemma
google/gemma-7b,8.538,,2.24,15.442818570272308,26.59321710838353,21.11609932329174,7.401812688821751,4.921700223713646,10.979947916666667,21.644134160756497,"Gemma Technical Report (Google, 2024), final loss","Medium (different validation set, approximate)",15.442818570272303,-1.7002839309885418,0.931356150467928,medium,gemma
microsoft/phi-2,2.78,,2.39,15.5342915582149,27.3875539125077,28.038519293439304,2.9456193353474323,2.9082774049217,13.83697916666666,18.088800236406616,"Phi-2 model card (Microsoft, 2023), training loss","Medium (different validation set, approximate)",15.534291558214901,-1.693295695882097,0.4440447959180762,medium,phi
microsoft/phi-1_5,1.418,,2.32,7.170966845799231,20.32839532440591,7.468938770070243,1.812688821752266,2.348993288590602,3.385416666666666,7.681368203309693,"Phi-1.5 paper (Microsoft, 2023), training loss","Medium (different validation set, approximate)",7.170966845799231,-2.5607189566098922,0.1516762308470477,medium,phi
microsoft/Phi-3-mini-4k-instruct,3.821,,2.15,27.56217404359228,54.76746144673909,36.55985530518785,16.389728096676738,10.96196868008949,13.118749999999997,33.57528073286053,"Phi-3 Technical Report (Microsoft, 2024), training loss","Medium (different validation set, approximate)",27.562174043592282,-0.9662842938651448,0.5821770376884089,medium,phi
meta-llama/Meta-Llama-3-70B,70.554,,1.71,26.705350171613343,16.031906452656727,48.709812647505885,18.580060422960727,19.686800894854585,16.011197916666664,41.21232269503546,"LLaMA 3 Technical Report (Meta, 2024), training loss at convergence","Medium (different validation set, approximate)",26.705350171613343,-1.0096236898738413,1.8485216407506466,medium,llama
meta-llama/Llama-2-13b-hf,13.016,,1.7,11.065185981273997,24.82468738502728,17.222559825058127,1.5105740181268883,4.138702460850116,3.385416666666666,15.309175531914892,"LLaMA 2 paper (Touvron et al., 2023), training loss","Medium (different validation set, approximate)",11.065185981273993,-2.084099893190833,1.1144775399288023,medium,llama
meta-llama/Llama-2-70b-hf,68.977,,1.65,18.372598605703004,24.06780675274937,35.900061863721675,3.2477341389728096,7.046979865771815,9.777604166666668,30.1954048463357,"LLaMA 2 paper (Touvron et al., 2023), training loss","Medium (different validation set, approximate)",18.372598605703004,-1.4913046585686314,1.83870430177712,medium,llama
mistralai/Mistral-7B-v0.1,7.242,,2.1,14.575358924083137,23.855481234236272,22.0182553990746,2.9456193353474323,5.592841163310966,10.675520833333335,22.36443557919621,"Mistral 7B technical report (Mistral AI, 2023), validation loss","Medium (different validation set, approximate)",14.575358924083135,-1.7683022384219218,0.8598585204809929,medium,mistral_mixtral
mistralai/Mistral-7B-Instruct-v0.2,7.242,,2.1,18.50789159273764,54.96227786717022,22.910601936713604,3.0211480362537766,3.467561521252797,7.608854166666667,19.0769060283688,"Mistral 7B model card (Mistral AI, 2024)","Medium (different validation set, approximate)",18.50789159273764,-1.4823089724913339,0.8598585204809929,medium,mistral_mixtral
mistralai/Mixtral-8x7B-v0.1,46.703,,1.9,19.665108918316083,23.260947618984297,30.4002992674255,9.365558912386708,9.395973154362418,13.6640625,31.903812056737586,"Mixtral technical report (Mistral AI, 2023), validation loss","Medium (different validation set, approximate)",19.665108918316083,-1.4073580911355708,1.669344778673157,medium,mistral_mixtral
Qwen/Qwen2.5-32B,32.764,,1.95,38.00796730514634,40.76649955451536,53.954752851332,35.64954682779456,21.588366890380318,22.69583333333333,53.39280437352246,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",38.00796730514634,-0.48921006819145035,1.5153969172605857,medium,qwen
Qwen/Qwen2.5-72B,72.706,,1.85,38.441143572535815,41.37100670664947,54.61505780163693,39.12386706948641,20.69351230425056,19.640625,55.20279255319149,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",38.441143572535815,-0.4708653990409591,1.8615702521158346,medium,qwen
Qwen/Qwen2-57B-A14B,57.409,,1.9,25.0338731324107,31.126965340851164,38.87598905034189,18.65558912386707,7.494407158836691,10.538541666666667,43.51174645390071,"Qwen2 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",25.0338731324107,-1.0968065366683313,1.7589799820136856,medium,qwen
01-ai/Yi-6B,6.061,,2.1,13.611617485376058,28.93378458046871,19.408504737915056,1.5861027190332326,2.572706935123044,7.044270833333335,22.12433510638298,"Yi Technical Report (01.AI, 2023), training loss","Medium (different validation set, approximate)",13.611617485376058,-1.8479295501691684,0.7825442840100101,medium,yi
01-ai/Yi-34B,34.389,,1.9,22.373127018936653,30.45751938190668,35.542431259008794,5.13595166163142,15.548098434004473,9.648437500000004,37.90632387706855,"Yi Technical Report (01.AI, 2023), training loss","Medium (different validation set, approximate)",22.373127018936653,-1.244053116536801,1.5364195471277338,medium,yi
tiiuae/falcon-7b,7.0,,2.25,5.17344472031948,18.205140139274903,5.963936911876051,0.9818731117824772,0.0,4.497135416666667,1.392582742316784,"Falcon technical report (TII, 2023), validation loss","Medium (different validation set, approximate)",5.1734447203194796,-2.908510732174186,0.8450980400142568,medium,falcon
tiiuae/falcon-40b,40.0,,2.05,11.40130446230009,24.96453853553017,16.583304730312175,1.812688821752266,3.1319910514541416,5.193229166666668,16.722074468085104,"Falcon technical report (TII, 2023), validation loss","Medium (different validation set, approximate)",11.40130446230009,-2.0503893590800724,1.6020599913279623,medium,falcon
google/gemma-1.1-2b-it,2.506,,2.5,8.053373854341979,30.674831668860847,5.862826722774347,1.812688821752266,2.572706935123044,2.024479166666666,5.372709810874704,"Gemma Technical Report (Google, 2024), final loss","Medium (different validation set, approximate)",8.053373854341979,-2.435117142137851,0.39898106665813116,medium,gemma
google/gemma-1.1-7b-it,8.538,,2.2,17.693584228972615,50.391073462856326,15.93420938501317,4.909365558912387,5.8165548098434,11.510937500000002,17.5993646572104,"Gemma Technical Report (Google, 2024), final loss","Medium (different validation set, approximate)",17.693584228972615,-1.5372469596189897,0.931356150467928,medium,gemma
facebook/opt-1.3b,1.3,,2.75,5.276689334204645,23.83298536771322,3.6480520895226793,0.906344410876133,0.0,2.0833333333333326,1.1894208037825047,"OPT paper (Zhang et al., 2022), Pile validation loss","Medium (different validation set, approximate)",5.276689334204645,-2.8876612416334275,0.11394335230683679,medium,opt
deepseek-ai/deepseek-llm-7b-base,7.0,,2.15,8.227098434870664,21.787191319033496,9.76792479590425,1.9637462235649543,3.1319910514541416,3.755989583333332,8.955747635933804,"DeepSeek LLM Technical Report (DeepSeek-AI, 2023), validation loss","Medium (different validation set, approximate)",8.227098434870664,-2.411883671155728,0.8450980400142568,medium,deepseek
microsoft/Phi-3-small-8k-instruct,7.392,,2.05,32.34201367038736,64.96651107949131,46.20557036638908,18.869565217391305,8.277404921700223,16.77395833333333,38.95907210401891,"Phi-3 Technical Report (Microsoft, 2024), training loss","Medium (different validation set, approximate)",32.34201367038736,-0.7380982834639717,0.8687619582120503,medium,phi
microsoft/Phi-3-medium-4k-instruct,13.96,,1.95,33.09765943937642,64.22713954529537,49.38061007422016,19.561933534743204,11.521252796420578,13.052083333333334,40.84293735224587,"Phi-3 Technical Report (Microsoft, 2024), training loss","Medium (different validation set, approximate)",33.09765943937642,-0.7037713843991841,1.1448854182871424,medium,phi
01-ai/Yi-1.5-34B,34.389,,1.95,25.64649419429311,28.411725333226947,42.74936268839652,15.332326283987916,15.436241610738255,11.217187500000003,40.732121749408975,Yi-1.5 report,"Medium (different validation set, approximate)",25.6464941942931,-1.064423940837276,1.5364195471277338,medium,yi
01-ai/Yi-1.5-34B-32K,34.389,,1.95,26.72791290850813,31.186917379220468,43.38184666762572,15.40785498489426,15.100671140939594,14.07786458333333,41.21232269503546,Yi-1.5 report,"Medium (different validation set, approximate)",26.727912908508134,-1.0084712860927334,1.5364195471277338,medium,yi
01-ai/Yi-1.5-34B-Chat,34.389,,1.95,33.35799367075618,60.66758423205982,44.262825981005655,27.7190332326284,15.324384787472036,13.058072916666664,39.11606087470449,Yi-1.5 report,"Medium (different validation set, approximate)",33.35799367075618,-0.692037670468777,1.5364195471277338,medium,yi
01-ai/Yi-1.5-34B-Chat-16K,34.389,,1.95,29.403554842710225,45.6449997118756,44.53615654671034,21.37462235649547,11.74496644295302,13.73671875,39.38386524822696,Yi-1.5 report,"Medium (different validation set, approximate)",29.403554842710225,-0.875864211299149,1.5364195471277338,medium,yi
